log_path,dataset,seed,n_hid,n_layers,s_layers,lr,difflr,reg,steps,noise_schedule,noise_scale,noise_min,noise_max,reweight,sampling_steps,sampling_noise,eval_only,checkpoint,save_name,model_dir,topk,best_recall,best_ndcg,avg_train_time_s,n_train_epochs_timed,avg_test_time_s,n_test_calls_timed
History\ciao\ablation\no_diffusion\ablation_no_diffusion.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,ablation_no_diffusion,Model/ciao/ablation/no_diffusion/,20,0.062887,0.037959,0.2792,150,0.2972,30
History\ciao\ablation\no_reweight\ablation_no_reweight.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,False,0,False,,./Model/epinions/_tem_.pth,ablation_no_reweight,Model/ciao/ablation/no_reweight/,20,0.061952,0.034707,0.3106,150,0.3470,30
History\ciao\ablation\no_social\ablation_no_social.console.log,ciao,2023,64,2,0,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,ablation_no_social,./Model/ciao/,20,0.056519,0.033342,0.2451,150,0.3199,30
History\ciao\efficiency\n_hid_128\eff_n_hid_128.console.log,ciao,2023,128,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_128,Model/ciao/efficiency/n_hid_128/,20,0.042125,0.028941,0.5504,5,0.3720,1
History\ciao\efficiency\n_hid_256\eff_n_hid_256.console.log,ciao,2023,256,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_256,Model/ciao/efficiency/n_hid_256/,20,0.050783,0.032953,0.5738,5,0.3960,1
History\ciao\efficiency\n_hid_32\eff_n_hid_32.console.log,ciao,2023,32,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_32,Model/ciao/efficiency/n_hid_32/,20,0.033283,0.019297,0.5724,5,0.4190,1
History\ciao\efficiency\n_hid_64\eff_n_hid_64.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_n_hid_64,Model/ciao/efficiency/n_hid_64/,20,0.042303,0.025403,0.5608,5,0.3850,1
History\ciao\efficiency\steps_100\eff_steps_100.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,100,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_100,Model/ciao/efficiency/steps_100/,20,0.040014,0.026387,0.5784,5,0.6310,1
History\ciao\efficiency\steps_10\eff_steps_10.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,10,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_10,Model/ciao/efficiency/steps_10/,20,0.043979,0.027533,1.2148,5,0.4370,1
History\ciao\efficiency\steps_200\eff_steps_200.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,200,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_200,Model/ciao/efficiency/steps_200/,20,0.043386,0.027056,0.5626,5,0.8730,1
History\ciao\efficiency\steps_50\eff_steps_50.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,50,linear-var,1.0,0.0001,0.01,True,0,False,False,./Model/epinions/_tem_.pth,eff_steps_50,Model/ciao/efficiency/steps_50/,20,0.042036,0.026047,0.5470,5,0.4560,1
History\ciao\sampling_sweep\steps0_noiseFalse\sampling_sweep_steps0_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,4.6569,1
History\ciao\sampling_sweep\steps0_noiseTrue\sampling_sweep_steps0_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,3.8566,1
History\ciao\sampling_sweep\steps10_noiseFalse\sampling_sweep_steps10_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,1.6030,1
History\ciao\sampling_sweep\steps10_noiseTrue\sampling_sweep_steps10_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4880,1
History\ciao\sampling_sweep\steps20_noiseFalse\sampling_sweep_steps20_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,1.5730,1
History\ciao\sampling_sweep\steps20_noiseTrue\sampling_sweep_steps20_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4742,1
History\ciao\sampling_sweep\steps5_noiseFalse\sampling_sweep_steps5_noiseFalse.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,1.5450,1
History\ciao\sampling_sweep\steps5_noiseTrue\sampling_sweep_steps5_noiseTrue.console.log,,,,,,,,,,,,,,,,,,,,,,,,,0,1.6220,1
History\ciao\seeds\2023\seed_2023.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2023,Model/ciao/seeds/2023/,20,0.071605,0.041102,0.3169,150,0.3276,30
History\ciao\seeds\2024\seed_2024.console.log,ciao,2024,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2024,Model/ciao/seeds/2024/,20,0.066000,0.040362,0.3112,150,0.3279,30
History\ciao\seeds\2025\seed_2025.console.log,ciao,2025,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2025,Model/ciao/seeds/2025/,20,0.067925,0.040720,0.3132,150,0.3223,30
History\ciao\seeds\2026\seed_2026.console.log,ciao,2026,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2026,Model/ciao/seeds/2026/,20,0.068037,0.040343,0.3075,150,0.3193,30
History\ciao\seeds\2027\seed_2027.console.log,ciao,2027,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,seed_2027,Model/ciao/seeds/2027/,20,0.067779,0.040653,0.3100,150,0.3186,30
History\ciao\sensitivity\lr\0.0001\sens_lr_0.0001.console.log,ciao,2023,64,2,2,0.0001,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_lr_0.0001,Model/ciao/sensitivity/lr/0.0001/,20,0.045389,0.025977,0.3130,150,0.3390,30
History\ciao\sensitivity\lr\0.001\sens_lr_0.001.console.log,ciao,2023,64,2,2,0.001,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_lr_0.001,Model/ciao/sensitivity/lr/0.001/,20,0.057463,0.035984,0.3149,150,0.3267,30
History\ciao\sensitivity\lr\0.005\sens_lr_0.005.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_lr_0.005,Model/ciao/sensitivity/lr/0.005/,20,0.071772,0.041159,0.3224,150,0.3255,30
History\ciao\sensitivity\n_hid\128\sens_n_hid_128.console.log,ciao,2023,128,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_128,Model/ciao/sensitivity/n_hid/128/,20,0.069356,0.043698,0.3183,150,0.3258,30
History\ciao\sensitivity\n_hid\256\sens_n_hid_256.console.log,ciao,2023,256,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_256,Model/ciao/sensitivity/n_hid/256/,20,0.072153,0.044549,0.3181,150,0.3355,30
History\ciao\sensitivity\n_hid\32\sens_n_hid_32.console.log,ciao,2023,32,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_32,Model/ciao/sensitivity/n_hid/32/,20,0.060803,0.036124,0.3217,150,0.3315,30
History\ciao\sensitivity\n_hid\64\sens_n_hid_64.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,1.0,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_n_hid_64,Model/ciao/sensitivity/n_hid/64/,20,0.072387,0.041080,0.3219,150,0.3385,30
History\ciao\sensitivity\noise_scale\0.01\sens_noise_scale_0.01.console.log,ciao,2023,64,2,2,0.005,0.001,0.01,20,linear-var,0.01,0.0001,0.01,True,0,False,,./Model/epinions/_tem_.pth,sens_noise_scale_0.01,Model/ciao/sensitivity/noise_scale/0.01/,20,0.063916,0.037253,0.3138,150,0.3268,30
